id,event_id,meet,date,name,age,body_weight,snatch1,snatch2,snatch3,snatch_best,cj1,cj2,cj3,cj_best,total
382519,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Lucas Diehl,Men's 16-17 Age Group 94+kg,119.75,125,-130,134,134,157,163,169,169,303
382520,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Madden Mones,Men's 16-17 Age Group 94+kg,129.25,126,132,135,135,157,162,-168,162,297
382521,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Brodie Hollis,Men's 16-17 Age Group 94+kg,118.9,115,120,-125,120,150,158,165,165,285
382522,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Chase Dooley,Men's 16-17 Age Group 94+kg,126.2,115,123,-130,123,155,-165,-170,155,278
382523,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Rucker Johnson,Men's 16-17 Age Group 79kg,78.3,-120,120,125,125,145,150,153,153,278
382524,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Carter Sing,Men's 16-17 Age Group 79kg,77.25,115,120,124,124,145,-150,152,152,276
382525,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Elias Horn,Men's 16-17 Age Group 94kg,93.25,113,118,125,125,140,-150,151,151,276
382526,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Roy  Maher,Men's 16-17 Age Group 79kg,76.5,112,116,-121,116,146,150,-154,150,266
382527,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Baron Baker,Men's 16-17 Age Group 94kg,89.4,105,110,-115,110,-145,145,150,150,260
382528,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Robert Whitlock,Men's 16-17 Age Group 88kg,82.4,110,113,116,116,135,140,-145,140,256
382529,6948,"2025 National Youth Championships, Powered by Rogue Fitness",2025-06-23,Haston Hill,Men's 16-17 Age Group 79kg,75.8,103,106,109,109,141,146,-151,146,255
