id,date,meet,sess,plat,age_group_weight_category,weigh,weight_category,time,estimated_entry_totals_(min___max),gender,number_of_lifters
123,2026-03-05,2026 Virus Weightlifting Series 1,1,Red,,07:00:00,53kg D,09:00:00,0-80,F,11
124,2026-03-05,2026 Virus Weightlifting Series 1,1,White,,07:00:00,48kg B,09:00:00,70-91,F,10
125,2026-03-05,2026 Virus Weightlifting Series 1,1,Blue,,07:00:00,32kg–52kg C,09:00:00,40-56,M,11
126,2026-03-05,2026 Virus Weightlifting Series 1,1,Stars,,07:00:00,56kg & 60kg C,09:00:00,35-113,M,10
127,2026-03-05,2026 Virus Weightlifting Series 1,1,Stripes,,07:00:00,65kg C,09:00:00,90-142,M,11
128,2026-03-05,2026 Virus Weightlifting Series 1,2,Red,,09:00:00,53kg C,11:00:00,80-102,F,10
129,2026-03-05,2026 Virus Weightlifting Series 1,2,White,,09:00:00,30kg–36kg A,11:00:00,0-45,F,13
130,2026-03-05,2026 Virus Weightlifting Series 1,2,Blue,,09:00:00,32kg–52kg B,11:00:00,57-67,M,10
131,2026-03-05,2026 Virus Weightlifting Series 1,2,Stars,,09:00:00,56kg & 60kg B,11:00:00,113-165,M,10
132,2026-03-05,2026 Virus Weightlifting Series 1,2,Stripes,,09:00:00,65kg B,11:00:00,155-190,M,11
133,2026-03-05,2026 Virus Weightlifting Series 1,3,Red,,11:00:00,53kg B,13:00:00,104-120,F,10
134,2026-03-05,2026 Virus Weightlifting Series 1,3,White,,11:00:00,32kg–52kg A,13:00:00,71-158,M,10
135,2026-03-05,2026 Virus Weightlifting Series 1,3,Blue,,11:00:00,63kg J,13:00:00,0-98,F,12
136,2026-03-05,2026 Virus Weightlifting Series 1,3,Stars,48kg A,11:00:00,,13:00:00,92-140,F,9
137,2026-03-05,2026 Virus Weightlifting Series 1,3,Stripes,40kg & 44kg A,11:00:00,,13:00:00,48-70,F,10
138,2026-03-05,2026 Virus Weightlifting Series 1,4,Red,79kg I,13:00:00,,15:00:00,78-160,M,12
139,2026-03-05,2026 Virus Weightlifting Series 1,4,White,58kg I,13:00:00,,15:00:00,50-90,F,12
140,2026-03-05,2026 Virus Weightlifting Series 1,4,Blue,63kg I,13:00:00,,15:00:00,100-111,F,12
141,2026-03-05,2026 Virus Weightlifting Series 1,4,Stars,56kg & 60kg A,13:00:00,,15:00:00,165-233,M,10
142,2026-03-05,2026 Virus Weightlifting Series 1,4,Stripes,71kg & 65+kg D,13:00:00,,15:00:00,88-180,M,13
143,2026-03-05,2026 Virus Weightlifting Series 1,5,Red,79kg H,15:00:00,,17:00:00,165-190,M,12
