id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
123,2026-03-05,1,09:00:00,07:00:00,Red,53kg D,2026 VIRUS Weightlifting Series 1
124,2026-03-05,1,09:00:00,07:00:00,White,48kg B,2026 VIRUS Weightlifting Series 1
125,2026-03-05,1,09:00:00,07:00:00,Blue,32kg–52kg C,2026 VIRUS Weightlifting Series 1
126,2026-03-05,1,09:00:00,07:00:00,Stars,56kg & 60kg C,2026 VIRUS Weightlifting Series 1
127,2026-03-05,1,09:00:00,07:00:00,Stripes,65kg C,2026 VIRUS Weightlifting Series 1
128,2026-03-05,2,11:00:00,09:00:00,Red,53kg C,2026 VIRUS Weightlifting Series 1
129,2026-03-05,2,11:00:00,09:00:00,White,30kg–36kg A,2026 VIRUS Weightlifting Series 1
130,2026-03-05,2,11:00:00,09:00:00,Blue,32kg–52kg B,2026 VIRUS Weightlifting Series 1
131,2026-03-05,2,11:00:00,09:00:00,Stars,56kg & 60kg B,2026 VIRUS Weightlifting Series 1
132,2026-03-05,2,11:00:00,09:00:00,Stripes,65kg B,2026 VIRUS Weightlifting Series 1
133,2026-03-05,3,13:00:00,11:00:00,Red,53kg B,2026 VIRUS Weightlifting Series 1
134,2026-03-05,3,13:00:00,11:00:00,White,32kg–52kg A,2026 VIRUS Weightlifting Series 1
135,2026-03-05,3,13:00:00,11:00:00,Blue,63kg J,2026 VIRUS Weightlifting Series 1
136,2026-03-05,3,13:00:00,11:00:00,Stars,48kg A,2026 VIRUS Weightlifting Series 1
137,2026-03-05,3,13:00:00,11:00:00,Stripes,40kg & 44kg A,2026 VIRUS Weightlifting Series 1
138,2026-03-05,4,15:00:00,13:00:00,Red,79kg I,2026 VIRUS Weightlifting Series 1
139,2026-03-05,4,15:00:00,13:00:00,White,58kg I,2026 VIRUS Weightlifting Series 1
140,2026-03-05,4,15:00:00,13:00:00,Blue,63kg I,2026 VIRUS Weightlifting Series 1
141,2026-03-05,4,15:00:00,13:00:00,Stars,56kg & 60kg A,2026 VIRUS Weightlifting Series 1
142,2026-03-05,4,15:00:00,13:00:00,Stripes,71kg & 65+kg D,2026 VIRUS Weightlifting Series 1
143,2026-03-05,5,17:00:00,15:00:00,Red,79kg H,2026 VIRUS Weightlifting Series 1
144,2026-03-05,5,17:00:00,15:00:00,White,58kg H,2026 VIRUS Weightlifting Series 1
145,2026-03-05,5,17:00:00,15:00:00,Blue,63kg H,2026 VIRUS Weightlifting Series 1
146,2026-03-05,5,17:00:00,15:00:00,Stars,53kg A,2026 VIRUS Weightlifting Series 1
147,2026-03-05,5,17:00:00,15:00:00,Stripes,71kg & 65+kg C,2026 VIRUS Weightlifting Series 1
148,2026-03-05,6,19:00:00,17:00:00,Red,79kg G,2026 VIRUS Weightlifting Series 1
149,2026-03-05,6,19:00:00,17:00:00,White,58kg G,2026 VIRUS Weightlifting Series 1
150,2026-03-05,6,19:00:00,17:00:00,Blue,63kg G,2026 VIRUS Weightlifting Series 1
151,2026-03-05,6,19:00:00,17:00:00,Stars,65kg A,2026 VIRUS Weightlifting Series 1
152,2026-03-05,6,19:00:00,17:00:00,Stripes,71kg & 65+kg B,2026 VIRUS Weightlifting Series 1
153,2026-03-06,7,09:00:00,07:00:00,Red,58kg F,2026 VIRUS Weightlifting Series 1
154,2026-03-06,7,09:00:00,07:00:00,White,63kg F,2026 VIRUS Weightlifting Series 1
