event_name,gender,age_category,weight_class,qualifying_total
Virus Finals,Men,U11,32kg,32
Virus Finals,Men,U11,36kg,36
Virus Finals,Men,U11,40kg,40
Virus Finals,Men,U11,45kg,45
Virus Finals,Men,U11,50kg,50
Virus Finals,Men,U11,55kg,55
Virus Finals,Men,U11,60kg,60
Virus Finals,Men,U11,65kg,65
Virus Finals,Men,U11,70kg,70
Virus Finals,Men,U11,70+kg,71
Virus Finals,Men,U13,32kg,32
Virus Finals,Men,U13,36kg,36
Virus Finals,Men,U13,40kg,40
Virus Finals,Men,U13,45kg,45
Virus Finals,Men,U13,50kg,50
Virus Finals,Men,U13,55kg,55
Virus Finals,Men,U13,60kg,60
Virus Finals,Men,U13,65kg,65
Virus Finals,Men,U13,70kg,70
Virus Finals,Men,U13,70+kg,71
Virus Finals,Men,U15,50kg,70
Virus Finals,Men,U15,55kg,93
Virus Finals,Men,U15,60kg,102
Virus Finals,Men,U15,65kg,106
Virus Finals,Men,U15,70kg,110
Virus Finals,Men,U15,75kg,115
Virus Finals,Men,U15,85kg,122
Virus Finals,Men,U15,95kg,127
Virus Finals,Men,U15,95+kg,129
Virus Finals,Men,U17,55kg,102
Virus Finals,Men,U17,60kg,116
Virus Finals,Men,U17,65kg,128
Virus Finals,Men,U17,70kg,139
Virus Finals,Men,U17,75kg,147
Virus Finals,Men,U17,85kg,157
Virus Finals,Men,U17,95kg,166
Virus Finals,Men,U17,95+kg,168
Virus Finals,Men,Junior,60kg,148
Virus Finals,Men,Junior,65kg,158
Virus Finals,Men,Junior,70kg,172
Virus Finals,Men,Junior,75kg,180
Virus Finals,Men,Junior,85kg,191
Virus Finals,Men,Junior,95kg,198
Virus Finals,Men,Junior,110kg,208
Virus Finals,Men,Junior,110+kg,210
Virus Finals,Men,Senior,60kg,188
Virus Finals,Men,Senior,65kg,204
Virus Finals,Men,Senior,70kg,239
Virus Finals,Men,Senior,75kg,260
Virus Finals,Men,Senior,85kg,280
Virus Finals,Men,Senior,95kg,289
Virus Finals,Men,Senior,110kg,300
Virus Finals,Men,Senior,110+kg,304
Virus Finals,Men,Masters 35,60kg,156
Virus Finals,Men,Masters 35,65kg,164
Virus Finals,Men,Masters 35,70kg,172
Virus Finals,Men,Masters 35,75kg,181
Virus Finals,Men,Masters 35,85kg,193
Virus Finals,Men,Masters 35,95kg,201
Virus Finals,Men,Masters 35,110kg,212
Virus Finals,Men,Masters 35,110+kg,217
Virus Finals,Men,Masters 40,60kg,147
Virus Finals,Men,Masters 40,65kg,155
Virus Finals,Men,Masters 40,70kg,162
Virus Finals,Men,Masters 40,75kg,171
Virus Finals,Men,Masters 40,85kg,181
Virus Finals,Men,Masters 40,95kg,190
Virus Finals,Men,Masters 40,110kg,200
Virus Finals,Men,Masters 40,110+kg,204
Virus Finals,Men,Masters 45,60kg,139
Virus Finals,Men,Masters 45,65kg,146
Virus Finals,Men,Masters 45,70kg,152
Virus Finals,Men,Masters 45,75kg,160
Virus Finals,Men,Masters 45,85kg,171
Virus Finals,Men,Masters 45,95kg,179
Virus Finals,Men,Masters 45,110kg,189
Virus Finals,Men,Masters 45,110+kg,193
Virus Finals,Men,Masters 50,60kg,130
Virus Finals,Men,Masters 50,65kg,137
Virus Finals,Men,Masters 50,70kg,142
Virus Finals,Men,Masters 50,75kg,150
Virus Finals,Men,Masters 50,85kg,159
Virus Finals,Men,Masters 50,95kg,167
Virus Finals,Men,Masters 50,110kg,177
Virus Finals,Men,Masters 50,110+kg,181
Virus Finals,Men,Masters 55,60kg,112
Virus Finals,Men,Masters 55,65kg,118
Virus Finals,Men,Masters 55,70kg,123
Virus Finals,Men,Masters 55,75kg,129
Virus Finals,Men,Masters 55,85kg,138
Virus Finals,Men,Masters 55,95kg,144
Virus Finals,Men,Masters 55,110kg,154
Virus Finals,Men,Masters 55,110+kg,157
Virus Finals,Men,Masters 60,60kg,103
Virus Finals,Men,Masters 60,65kg,107
Virus Finals,Men,Masters 60,70kg,112
Virus Finals,Men,Masters 60,75kg,118
Virus Finals,Men,Masters 60,85kg,125
Virus Finals,Men,Masters 60,95kg,132
Virus Finals,Men,Masters 60,110kg,141
Virus Finals,Men,Masters 60,110+kg,144
Virus Finals,Men,Masters 65,60kg,88
Virus Finals,Men,Masters 65,65kg,93
Virus Finals,Men,Masters 65,70kg,96
Virus Finals,Men,Masters 65,75kg,101
Virus Finals,Men,Masters 65,85kg,108
Virus Finals,Men,Masters 65,95kg,114
Virus Finals,Men,Masters 65,110kg,123
Virus Finals,Men,Masters 65,110+kg,125
Virus Finals,Men,Masters 70,60kg,75
Virus Finals,Men,Masters 70,65kg,79
Virus Finals,Men,Masters 70,70kg,82
Virus Finals,Men,Masters 70,75kg,85
Virus Finals,Men,Masters 70,85kg,92
Virus Finals,Men,Masters 70,95kg,97
Virus Finals,Men,Masters 70,110kg,105
Virus Finals,Men,Masters 70,110+kg,107
Virus Finals,Men,Masters 75,60kg,66
Virus Finals,Men,Masters 75,65kg,67
Virus Finals,Men,Masters 75,70kg,70
Virus Finals,Men,Masters 75,75kg,73
Virus Finals,Men,Masters 75,85kg,79
Virus Finals,Men,Masters 75,95kg,84
Virus Finals,Men,Masters 75,110kg,91
Virus Finals,Men,Masters 75,110+kg,94
Virus Finals,Men,Masters 80,60kg,54
Virus Finals,Men,Masters 80,65kg,56
Virus Finals,Men,Masters 80,70kg,58
Virus Finals,Men,Masters 80,75kg,60
Virus Finals,Men,Masters 80,85kg,65
Virus Finals,Men,Masters 80,95kg,69
Virus Finals,Men,Masters 80,110kg,77
Virus Finals,Men,Masters 80,110+kg,79
Virus Finals,Men,Masters 85,60kg,41
Virus Finals,Men,Masters 85,65kg,42
Virus Finals,Men,Masters 85,70kg,42
Virus Finals,Men,Masters 85,75kg,44
Virus Finals,Men,Masters 85,85kg,48
Virus Finals,Men,Masters 85,95kg,52
Virus Finals,Men,Masters 85,110kg,59
Virus Finals,Men,Masters 85,110+kg,61
Virus Finals,Women,U11,30kg,30
Virus Finals,Women,U11,33kg,33
